Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
,2,1,Transition,Transition,,Semi-contested layup,2,9:50,Albany,2
,1,0,Transition,Transition,,Semi-contested layup,0,1:40,Albany,2
,1,0,Putback,Putback,,Semi-contested layup,0,1:33,Albany,2
,1,1,Set,Halfcourt,Yes,Semi-contested 2,2,12:14,Albany,2
,0,1,Set,Halfcourt,Yes,Open layup,2,17:30,Albany,2
,1,1,Set,Halfcourt,Yes,Open layup,2,16:25,Albany,2
,1,0,Putback,Putback,,Open layup,2,13:40,Albany,2
,0,0,Putback,Putback,,Open layup,2,7:15,Albany,2
,1,1,Set,Halfcourt,Yes,Open 3,0,16:50,Albany,2
,1,1,Transition,Transition,,Open 3,3,13:04,Albany,2
,1,1,Base,Halfcourt,Yes,Open 3,3,11:29,Albany,2
,1,1,Zone,Halfcourt,Yes,Open 3,0,7:20,Albany,2
,0,0,Set,Halfcourt,yes,Foul,2,,Albany,2
,1,0,Set,Halfcourt,Yes,Foul,2,6:35,Albany,2
,1,0,Base,Halfcourt,,Foul,2,3:20,Albany,2
,0,0,OB,Halfcourt,,Foul,2,1:47,Albany,2
,1,1,Zone,Halfcourt,Yes,Dunk,2,5:18,Albany,2
,1,1,Transition,Transition,,Dunk,2,:56,Albany,2
,1,0,Transition,Transition,,Contested layup,0,18:20,Albany,2
,1,0,Base,Halfcourt,No,Contested layup,0,3:43,Albany,2
,0,0,Base,Halfcourt,No,Contested 3,0,1:51,Albany,2
,0,0,Set,Halfcourt,No,Contested 2,2,19:30,Albany,2
,1,0,Base,Halfcourt,No,Contested 2,0,15:00,Albany,2
,0,0,Base,Halfcourt,No,Contested 2,0,3:56,Albany,2
,1,0,Base,Halfcourt,,Contested 2,0,3:33,Albany,2
,0,0,Set,Halfcourt,No,Contested 2,0,2:27,Albany,2
,0,0,Base,Halfcourt,,Contested 2,0,1:15,Albany,2

,1,0,Set,Halfcourt,Yes,Semi-contested layup,0,19:35,UNH,1
,1,0,Transition,Transition,,Contested layup,0,19:20,UNH,1
,1,0,Base,Halfcourt,No,Contested 2,0,19:01,UNH,1
,0,0,Set,Halfcourt,No,Step back 2,0,18:18,UNH,1
,1,0,Transition,Transition,No,Semi-contested layup,0,17:55,UNH,1
,1,1,Set,Halfcourt,No,Semi-contested layup,0,17:04,UNH,1
,1,0,Base,Halfcourt,No,Contested 3,0,16:48,UNH,1
,1,0,Transition,Transition,No,Turnover,0,16:31,UNH,1
,1,1,Set,Halfcourt,Yes,Turnover,0,15:52,UNH,1
,1,0,Base,Halfcourt,,Semi-contested layup,2,15:18,UNH,1
,0,0,Set,Halfcourt,No,Contested 3,0,14:36,UNH,1
,1,0,Base,Halfcourt,No,Semi-contested layup,0,14:10,UNH,1
,0,0,Set,Halfcourt,No,Turnover,0,13:28,UNH,1
,1,1,Base,Halfcourt,Yes,Dunk,2,13:10,UNH,1
,1,1,Transition,Transition,Yes,Open layup,2,12:40,UNH,1
,1,0,OB,OB,Yes,Semi-contested layup,2,11:56,UNH,1
